No;mht_est;mht_est_1;mht_est_2;mht_est_3;mht_est_4;mht_est_5;mht_est_6;mht_est_7;mht_est_8
1;10.8196;10.6974;11.3672;10.6020;1.147;0.598;0.000;1.000;2.770
2;11.0627;10.7334;11.1837;10.9070;1.098;0.575;0.000;1.000;1.570
3;11.0627;10.7334;11.2013;10.9070;1.030;0.586;0.000;1.000;1.820
4;10.4267;10.6135;11.2705;10.5039;0.638;0.552;0.062;0.499;2.530
5;10.6356;10.6311;11.2899;10.5766;1.038;0.540;0.062;0.499;5.220
6;10.9838;10.6444;11.3685;10.6732;0.995;0.621;0.062;0.499;7.870
7;10.7317;11.0644;11.1167;10.6248;2.384;0.586;0.000;0.408;6.960
8;10.9723;10.9758;11.2876;10.6804;2.003;0.644;0.000;0.414;6.610
9;10.9925;10.9322;11.1831;10.7647;1.975;0.690;0.000;0.415;7.750
10;9.6292;10.6518;11.3473;10.7392;1.474;0.575;0.000;0.499;6.360
11;10.6222;10.5532;11.3203;10.4756;1.745;0.575;0.000;0.499;6.990
12;10.7254;10.5930;11.2037;10.7026;1.608;0.552;0.000;0.499;7.840
13;10.6102;10.7478;11.1326;10.6078;1.391;0.701;0.000;0.544;3.030
14;10.6518;10.6725;11.1422;10.7043;1.387;0.678;0.000;0.524;3.050
15;10.7452;10.6667;11.1949;10.8440;1.532;0.690;0.000;0.445;3.110
16;10.8725;10.9207;11.0830;10.6348;0.993;0.621;0.000;1.000;1.800
17;11.0184;10.7789;11.0993;10.8509;0.986;0.724;0.000;1.000;1.890
18;11.0665;10.8100;11.1917;10.8761;1.081;0.770;0.000;1.000;1.940
19;10.5719;10.7110;11.0717;10.2047;1.189;0.655;0.000;1.000;2.890
20;10.8220;10.6639;11.2700;10.4406;1.138;0.713;0.000;1.000;2.610
21;10.8596;10.7258;11.2602;10.6405;1.246;0.713;0.000;1.000;2.580
22;10.8016;10.6155;11.1784;10.4887;0.998;0.621;0.000;1.000;1.080
23;10.9519;10.7012;11.1395;10.4604;0.996;0.713;0.000;1.000;1.220
24;11.0240;10.7556;11.0562;10.6098;1.060;0.690;0.000;1.000;1.160
25;10.8118;10.7507;11.0683;10.3708;1.044;0.575;0.000;1.000;2.320
26;10.8797;10.7048;11.0837;10.6839;1.051;0.609;0.000;1.000;1.410
27;11.0273;10.8421;11.0677;10.8209;1.118;0.690;0.000;1.000;1.910
28;10.9695;10.6106;10.9755;10.2660;1.348;0.586;0.000;0.470;6.530
29;11.1641;10.6681;11.1342;10.4401;1.279;0.655;0.000;0.484;3.500
30;11.1169;10.6993;11.0409;10.7110;1.077;0.621;0.000;0.484;11.240
31;10.9848;10.8172;11.0509;10.6823;2.068;0.529;0.063;0.245;10.160
32;11.1491;10.7874;10.9961;10.7843;2.359;0.598;0.063;0.245;7.320
33;11.2568;10.7592;11.1877;11.1937;2.783;0.563;0.063;0.245;11.620
34;10.7917;10.8448;10.9628;10.2570;11.664;0.540;0.000;0.075;27.260
35;10.9397;10.7600;11.0401;10.4342;10.594;0.586;0.000;0.075;30.020
36;10.9882;10.7428;11.2013;10.5335;12.962;0.563;0.000;0.075;29.370
37;10.7225;10.4896;11.2915;10.4474;3.341;0.552;0.000;0.200;11.010
38;10.8107;10.4460;11.3670;10.4838;3.915;0.678;0.000;0.200;10.470
39;10.9032;10.4889;11.4773;10.6014;3.640;0.713;0.000;0.200;11.210
40;10.6320;10.5313;11.0360;10.0856;1.025;0.598;0.000;0.499;4.040
41;10.8836;10.4273;11.0782;10.4511;1.267;0.609;0.000;0.499;4.440
42;11.2332;10.3116;11.2290;10.8890;1.230;0.690;0.000;0.499;5.850
43;10.7495;10.7185;11.1839;10.4639;3.110;0.552;0.000;0.360;15.750
44;10.6758;10.5469;11.2986;10.5828;2.013;0.609;0.000;0.490;12.840
45;10.8881;10.6207;11.2926;10.6879;2.949;0.598;0.000;0.490;6.440
46;10.8165;10.2966;11.0324;10.6338;1.631;0.575;0.000;1.000;3.590
47;10.8616;10.6619;11.0622;10.7319;1.281;0.609;0.000;1.000;3.370
48;10.8006;10.7230;11.2180;10.9138;1.355;0.655;0.000;1.000;2.640
49;10.7284;10.8148;11.0712;10.5834;4.719;0.598;0.000;0.433;11.820
50;10.7699;10.7250;11.0889;10.5815;5.031;0.632;0.000;0.435;11.820
51;10.8813;10.7454;11.3079;10.8283;4.931;0.667;0.000;0.432;14.760
52;10.9527;10.4205;10.9927;10.3037;1.120;0.586;0.000;0.769;2.480
53;10.9481;10.4104;11.1053;10.3357;0.880;0.563;0.000;0.600;2.690
54;11.0530;10.5493;11.2651;10.4472;0.672;0.632;0.000;0.431;1.510
55;10.9054;10.6092;11.1889;10.5172;13.920;0.598;0.000;0.795;45.790
56;10.9689;10.7860;11.2100;10.6793;9.701;0.575;0.000;0.825;41.570
57;10.9640;10.7205;11.2668;10.7345;5.947;0.690;0.000;0.825;35.140
58;10.7324;10.4952;11.1154;10.4003;2.169;0.552;0.000;0.390;8.820
59;10.8287;10.4426;11.1561;10.3945;2.045;0.517;0.000;0.408;10.550
60;10.8446;10.4366;11.4311;10.6405;1.567;0.644;0.000;0.437;10.410
61;10.9422;10.4621;11.0462;10.1650;1.234;0.586;0.000;1.000;6.200
62;10.8191;10.5252;11.1433;10.2495;1.249;0.609;0.000;1.000;4.520
63;10.9059;10.6221;11.1799;10.4649;0.991;0.609;0.000;1.000;2.350
